TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR,SOURCE
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",0,SELECTED SOCIAL CHARACTERISTICS IN PUERTO RICO,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",0.5,,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",0.8,HOUSEHOLDS BY TYPE,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",1,Total households,"1,165,982","+/-9,161","1,165,982",(X),
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",2,Married-couple household,"401,781","+/-10,108",34.5,+/-0.8,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",3,With children of the householder under 18 years,"90,099","+/-5,594",7.7,+/-0.5,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",4,Cohabiting couple household,"127,278","+/-6,879",10.9,+/-0.6,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",5,With children of the householder under 18 years,"54,099","+/-4,606",4.6,+/-0.4,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",6,"Male householder, no spouse/partner present","199,065","+/-6,867",17.1,+/-0.6,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",7,With children of the householder under 18 years,"7,950","+/-1,767",0.7,+/-0.2,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",8,Householder living alone,"150,676","+/-6,265",12.9,+/-0.5,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",9,65 years and over,"68,601","+/-3,476",5.9,+/-0.3,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",10,"Female householder, no spouse/partner present","437,858","+/-7,668",37.6,+/-0.7,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",11,With children of the householder under 18 years,"80,867","+/-4,726",6.9,+/-0.4,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",12,Householder living alone,"214,509","+/-6,338",18.4,+/-0.5,
