#,District,2020 presidential margin,2022 U.S. House margin,Difference,Notes
1,FL-26,Trump +18.3,R+41.8,R+23.5,
2,FL-28,Trump +6.4,R+27.4,R+21.0,
3,AK-AL,Trump +10.1,D+10.0,D+20.1,2022 House margins reflect final round of ranked-choice voting.
4,NY-02,Trump +1.5,R+21.5,R+20.0,
5,OH-10,Trump +3.5,R+23.4,R+19.9,
6,CA-27,Biden +12.4,R+6.4,R+18.8,
7,WA-04,Trump +16.9,R+35.3,R+18.4,
8,NY-04,Biden +14.6,R+3.6,R+18.2,
9,KY-06,Trump +11.0,R+29.1,R+18.1,
10,HI-01,Biden +29.4,D+47.4,D+18.0,
11,FL-21,Trump +9.4,R+27.0,R+17.6,
12,MS-03,Trump +24.3,R+41.4,R+17.1,
13,FL-11,Trump +10.9,R+27.7,R+16.8,
14,OH-09,Trump +2.9,D+13.2,D+16.1,
15,CA-22,Biden +13.0,R+3.0,R+16.0,
16,NY-11,Trump +7.7,R+23.5,R+15.8,
17,NY-03,Biden +8.2,R+7.5,R+15.7,
17,UT-03,Trump +19.2,R+34.9,R+15.7,
18,CA-40,Biden +1.9,R+13.6,R+15.5,
19,FL-16,Trump +8.9,R+24.3,R+15.4,
20,NY-16,Biden +43.7,D+28.5,R+15.2,
21,FL-19,Trump +21.1,R+36.0,R+14.9,
22,PA-01,Biden +4.6,R+9.8,R+14.4,
23,FL-04,Trump +6.7,R+21.0,R+14.3,
23,FL-27,Trump +0.3,R+14.6,R+14.3,
23,MS-01,Trump +31.7,R+46.0,R+14.3,
24,NY-24,Trump +17.2,R+31.4,R+14.2,
25,UT-01,Trump +19.9,R+34.0,R+14.1,
26,CA-38,Biden +30.2,D+16.2,R+14.0,
27,FL-15,Trump +3.1,R+17.0,R+13.9,
27,NJ-02,Trump +4.9,R+18.8,R+13.9,
28,MN-05,Biden +63.2,D+49.8,R+13.4,
29,NY-14,Biden +56.6,D+43.3,R+13.3,
30,NJ-04,Trump +22.5,R+35.6,R+13.1,
31,CA-35,Biden +27.6,D+14.8,R+12.8,
32,NY-23,Trump +17.2,R+29.9,R+12.7,
33,TN-08,Trump +37.3,R+49.7,R+12.4,
34,ME-02,Trump +6.1,D+6.2,D+12.3,2022 House margins reflect final round of ranked-choice voting.
34,CA-18,Biden +44.1,D+31.8,R+12.3,
34,FL-17,Trump +16.0,R+28.3,R+12.3,
35,CA-23,Trump +9.8,R+22.0,R+12.2,
35,CT-04,Biden +31.0,D+18.8,R+12.2,
35,FL-10,Biden +31.8,D+19.6,R+12.2,
36,CA-31,Biden +31.1,D+19.0,R+12.1,
36,FL-03,Trump +14.1,R+26.2,R+12.1,
36,FL-08,Trump +17.7,R+29.8,R+12.1,
36,NY-05,Biden +62.4,D+50.3,R+12.1,
37,AL-03,Trump +34.1,R+46.1,R+12.0,
37,FL-12,Trump +28.8,R+40.8,R+12.0,
37,NY-25,Biden +19.7,D+7.7,R+12.0,
38,CA-21,Biden +20.3,D+8.4,R+11.9,
39,TX-14,Trump +28.6,R+40.4,R+11.8,
40,VA-10,Biden +18.1,D+6.4,R+11.7,
41,AR-02,Trump +13.1,R+24.7,R+11.6,
42,FL-07,Trump +5.5,R+17.0,R+11.5,
43,CA-13,Biden +10.9,R+0.4,R+11.3,
43,SC-05,Trump +18.2,R+29.5,R+11.3,
44,NY-01,Biden +0.2,R+11.0,R+11.2,
45,IL-16,Trump +21.5,R+32.6,R+11.1,
45,SC-07,Trump +18.6,R+29.7,R+11.1,
46,CA-26,Biden +19.9,D+9.0,R+10.9,
46,CA-45,Biden +6.1,R+4.8,R+10.9,
46,IA-04,Trump +26.0,R+36.9,R+10.9,
46,NV-02,Trump +11.0,R+21.9,R+10.9,
46,OR-05,Biden +8.8,R+2.1,R+10.9,
