state,called,final,dem_votes,rep_votes,other_votes,dem_percent,rep_percent,other_percent,dem_this_margin,margin_shift,vote_change,stateid,EV,2016 Margin,Total 2016 Votes,2022 Dem Vote,2022 Rep Vote,2022 Dem Percent,2022 Rep Percent,2022 Dem This Margin,20-22 Dem Margin Shift,Special
Alabama,R,Yes,"849,624","1,441,170","32,488",36.60%,62.00%,1.40%,-25.50%,2.30%,9.40%,AL,9,-0.2772514661,"2,123,372","435,428","940,048",30.90%,66.80%,-35.90%,-10.40%,FALSE
Alaska,R,Yes,"153,778","189,951","15,801",42.80%,52.80%,4.40%,-10.10%,4.70%,12.80%,AK,3,-0.1473064079,"318,608",,,,,,,FALSE
Arizona,D,Yes,"1,672,143","1,661,686","53,497",49.40%,49.10%,1.60%,0.30%,3.90%,31.60%,AZ,11,-0.03545594628,"2,573,165","1,322,026","1,196,308",51.40%,46.50%,4.90%,4.60%,FALSE
Arkansas,R,Yes,"423,932","760,647","34,490",34.80%,62.40%,2.80%,-27.60%,-0.70%,7.80%,AR,6,-0.2692097803,"1,130,635","279,277","591,045",31.10%,65.70%,-34.60%,-7.00%,FALSE
California,D,Yes,"11,110,250","6,006,429","384,192",63.50%,34.30%,2.20%,29.20%,-0.90%,23.40%,CA,55,0.3010929307,"14,181,595","6,621,616","4,222,025",61.10%,38.90%,22.20%,-7.00%,FALSE
Colorado,D,Yes,"1,804,352","1,364,607","87,993",55.40%,41.90%,2.70%,13.50%,8.60%,17.10%,CO,9,0.04905535371,"2,780,220","1,397,170","1,031,693",55.90%,41.30%,14.60%,1.10%,FALSE
Connecticut,D,Yes,"1,080,831","714,717","28,309",59.30%,39.20%,1.60%,20.10%,6.40%,10.90%,CT,7,0.1363938672,"1,644,920","724,785","536,020",57.50%,42.50%,15.00%,-5.10%,FALSE
Delaware,D,Yes,"296,268","200,603","7,475",58.70%,39.80%,1.50%,19.00%,7.60%,14.20%,DE,3,0.1137323293,"441,590",,,,,,,FALSE
District of Columbia,D,Yes,"317,323","18,586","8,447",92.10%,5.40%,2.50%,86.80%,0.00%,10.60%,DC,3,0.8677634707,"311,268",,,,,,,FALSE
Florida,R,Yes,"5,297,045","5,668,731","101,680",47.90%,51.20%,0.90%,-3.40%,-2.20%,17.50%,FL,29,-0.01198625611,"9,420,039","3,200,581","4,474,402",41.30%,57.70%,-16.40%,-13.00%,FALSE
Georgia,D,Yes,"2,473,633","2,461,854","62,229",49.50%,49.30%,1.20%,0.20%,5.40%,22.10%,GA,16,-0.05131342697,"4,092,373","1,820,633","1,721,244",51.40%,48.60%,2.80%,2.60%,FALSE
Hawaii,D,Yes,"366,130","196,864","11,475",63.70%,34.30%,2.00%,29.50%,-2.70%,33.90%,HI,4,0.3218281473,"428,937","289,585","105,704",71.20%,26.00%,45.20%,15.70%,FALSE
Idaho,R,Yes,"287,021","554,119","26,091",33.10%,63.90%,3.00%,-30.80%,1.00%,25.60%,ID,4,-0.3176941855,"690,255","169,809","358,539",28.70%,60.70%,-32.00%,-1.20%,FALSE
Illinois,D,Yes,"3,471,915","2,446,891","114,938",57.50%,40.60%,1.90%,17.00%,-0.10%,9.00%,IL,20,0.1706361362,"5,536,424","2,272,228","1,689,326",56.40%,41.90%,14.50%,-2.50%,FALSE
Indiana,R,Yes,"1,242,413","1,729,516","61,183",41.00%,57.00%,2.00%,-16.10%,3.10%,10.90%,IN,11,-0.1916519376,"2,734,958","702,873","1,088,428",37.90%,58.70%,-20.80%,-4.70%,FALSE
Iowa,R,Yes,"759,061","897,672","34,138",44.90%,53.10%,2.00%,-8.20%,1.20%,8.00%,IA,6,-0.09406838051,"1,566,031","533,318","681,487",43.90%,56.10%,-12.20%,-4.00%,FALSE
Kansas,R,Yes,"570,323","771,406","30,574",41.60%,56.20%,2.20%,-14.70%,5.90%,15.90%,KS,6,-0.2060221107,"1,184,402","365,819","595,362",36.90%,60.10%,-23.20%,-8.50%,FALSE
Kentucky,R,Yes,"772,474","1,326,646","37,648",36.20%,62.10%,1.80%,-25.90%,3.90%,11.10%,KY,8,-0.2983745022,"1,924,149","564,297","913,276",38.20%,61.80%,-23.60%,2.30%,FALSE
Louisiana,R,Yes,"856,034","1,255,776","36,252",39.90%,58.50%,1.70%,-18.60%,1.00%,5.90%,LA,8,-0.1963911856,"2,029,032",,,,,,,FALSE
Maine,D,Yes,"435,072","360,737","23,652",53.10%,44.00%,2.90%,9.10%,6.10%,9.60%,ME,2,0.02960449349,"747,927",,,,,,,FALSE
Maine 1st District,D,Yes,"266,376","164,045","12,691",60.10%,37.00%,2.90%,23.10%,8.30%,12.40%,ME1,1,0.1480743237,"394,329",,,,,,,FALSE
Maine 2nd District,R,Yes,"168,696","196,692","10,961",44.80%,52.30%,2.90%,-7.40%,2.80%,6.50%,ME2,1,-0.10288159,"353,416",,,,,,,FALSE
Maryland,D,Yes,"1,985,023","976,414","75,593",65.40%,32.20%,2.50%,33.20%,6.80%,9.20%,MD,10,0.2641643951,"2,781,446","1,316,929","682,301",65.90%,34.10%,31.80%,-1.40%,FALSE
Massachusetts,D,Yes,"2,382,202","1,167,202","81,998",65.60%,32.10%,2.30%,33.50%,6.30%,9.20%,MA,11,0.2719670645,"3,325,046",,,,,,,FALSE
Michigan,D,Yes,"2,804,040","2,649,852","85,410",50.60%,47.80%,1.50%,2.80%,3.00%,15.40%,MI,16,-0.002230332691,"4,799,284",,,,,,,FALSE
Minnesota,D,Yes,"1,717,077","1,484,065","76,029",52.40%,45.30%,2.30%,7.10%,5.60%,11.30%,MN,10,0.0152013048,"2,944,813",,,,,,,FALSE
