"","CAND_ID","CAND_ELECTION_YR","CMTE_ID","LINKAGE_ID"
"1","H0AL01055",2022,"C00697789",235900
"2","H0AL02202",2022,"C00728873",237422
"3","H0AL07086",2022,"C00458976",234980
"4","H0AR01083",2022,"C00493783",235133
"5","H0AR01083",2022,"C00462374",235108
"6","H0AR03055",2022,"C00477745",235162
"7","H0AR03055",2022,"C00497149",235265
"8","H0AZ01259",2022,"C00461806",235098
"9","H0AZ03461",2022,"C00725697",238652
"10","H0AZ05185",2022,"C00813923",244794
"11","H0AZ07082",2022,"C00702332",236812
"12","H0AZ08072",2022,"C00703124",236388
"13","H0CA03078",2022,"C00461061",235103
"14","H0CA03078",2022,"C00519900",238438
"15","H0CA03128",2022,"C00706374",236371
"16","H0CA04175",2022,"C00704650",237014
"17","H0CA05107",2022,"C00714592",238374
"18","H0CA06170",2022,"C00721548",238457
"19","H0CA07137",2022,"C00784918",241554
"20","H0CA07137",2022,"C00710624",237489
"21","H0CA08135",2022,"C00720078",239218
"22","H0CA08226",2022,"C00761825",238319
"23","H0CA10073",2022,"C00554709",235353
"24","H0CA10149",2022,"C00462697",235060
"25","H0CA15247",2022,"C00714568",238974
"26","H0CA15247",2022,"C00776021",240390
"27","H0CA17193",2022,"C00721878",238640
"28","H0CA18068",2022,"C00695866",236841
"29","H0CA18068",2022,"C00695858",236840
"30","H0CA19173",2022,"C00473272",235078
"31","H0CA20122",2022,"C00722363",237204
"32","H0CA22102",2022,"C00830505",246152
"33","H0CA22102",2022,"C00708479",238926
"34","H0CA22110",2022,"C00766725",239358
"35","H0CA25105",2022,"C00701102",236860
"36","H0CA25105",2022,"C00702456",238262
"37","H0CA25139",2022,"C00719047",238809
"38","H0CA25154",2022,"C00725101",237790
"39","H0CA26145",2022,"C00708073",239027
"40","H0CA27085",2022,"C00648626",237077
"41","H0CA27085",2022,"C00343871",234871
"42","H0CA27127",2022,"C00651547",236125
"43","H0CA28174",2022,"C00709501",238006
"44","H0CA32101",2022,"C00458125",234973
"45","H0CA33117",2022,"C00476523",235170
"46","H0CA35146",2022,"C00730812",237278
"47","H0CA38140",2022,"C00769356",239694
"48","H0CA40120",2022,"C00776138",240590
"49","H0CA42217",2022,"C00697524",235905
"50","H0CA43108",2022,"C00778654",245317
"51","H0CA43108",2022,"C00705236",236893
"52","H0CA45160",2022,"C00783027",241289
"53","H0CA47166",2022,"C00805226",244894
"54","H0CA48024",2022,"C00721332",239466
"55","H0CA48172",2022,"C00700187",237066
"56","H0CA48198",2022,"C00704981",236948
"57","H0CA48198",2022,"C00702480",238263
"58","H0CA50129",2022,"C00710863",239039
"59","H0CA52083",2022,"C00724849",239215
"60","H0CO03132",2022,"C00769919",239826
"61","H0CO03165",2022,"C00728238",237251
"62","H0CO04197",2022,"C00697334",236106
"63","H0CO05152",2022,"C00781203",244795
"64","H0CO05152",2022,"C00755009",237620
"65","H0CT01134",2022,"C00746248",237539
"66","H0CT01134",2022,"C00803320",244581
"67","H0CT03072",2022,"C00238865",234918
"68","H0CT03163",2022,"C00748400",237241
"69","H0CT04203",2022,"C00730424",237663
"70","H0CT04203",2022,"C00799213",244560
"71","H0CT04211",2022,"C00733279",237317
"72","H0CT04211",2022,"C00744722",238112
"73","H0CT04211",2022,"C00733147",238714
"74","H0CT04229",2022,"C00790352",244561
"75","H0DC00058",2022,"C00244335",234902
"76","H0DC01023",2022,"C00742684",237896
"77","H0FL01146",2022,"C00774745",240301
"78","H0FL01146",2022,"C00740340",239226
"79","H0FL02086",2022,"C00460261",235104
"80","H0FL03175",2022,"C00730895",239160
"81","H0FL04140",2022,"C00716399",237764
"82","H0FL04140",2022,"C00789503",241920
"83","H0FL04140",2022,"C00789396",241918
"84","H0FL06111",2022,"C00732818",237459
"85","H0FL06145",2022,"C00769380",239716
"86","H0FL08208",2022,"C00481911",235161
"87","H0FL09073",2022,"C00698217",235924
"88","H0FL09073",2022,"C00757435",237359
"89","H0FL09081",2022,"C00699694",237010
"90","H0FL09115",2022,"C00711358",239094
"91","H0FL10113",2022,"C00741900",237444
"92","H0FL13133",2022,"C00708263",237905
"93","H0FL13158",2022,"C00775098",245808
"94","H0FL13158",2022,"C00718239",237399
"95","H0FL13158",2022,"C00702522",237336
"96","H0FL15070",2022,"C00772780",240184
"97","H0FL15104",2022,"C00742247",238055
"98","H0FL17068",2022,"C00460055",234986
"99","H0FL17175",2022,"C00725242",238474
"100","H0FL19080",2022,"C00469163",235086
"101","H0FL19106",2022,"C00718155",237398
"102","H0FL19163",2022,"C00731406",237549
"103","H0FL20112",2022,"C00777474",240592
