"","CAND_ID","CAND_NAME","CAND_PTY_AFFILIATION","CAND_ELECTION_YR","CAND_OFFICE","CAND_OFFICE_ST","CAND_OFFICE_DISTRICT","CAND_PCC"
"1","H0AL01055","CARL, JERRY LEE, JR","REP",2022,"H","AL",1,"C00697789"
"2","H0AL02202","HARVEY-HALL, PHYLLIS","DEM",2022,"H","AL",2,"C00728873"
"3","H0AL05163","BROOKS, MO","REP",2022,"H","AL",5,"C00464149"
"4","H0AL07086","SEWELL, TERRI A.","DEM",2022,"H","AL",7,"C00458976"
"5","H0AR01083","CRAWFORD, ERIC ALAN RICK","REP",2022,"H","AR",1,"C00462374"
"6","H0AR03055","WOMACK, STEVE","REP",2022,"H","AR",3,"C00477745"
"7","H0AZ01259","GOSAR, PAUL DR.","REP",2022,"H","AZ",9,"C00461806"
"8","H0AZ03461","WOOD, DANIEL","REP",2022,"H","AZ",3,"C00725697"
"9","H0AZ05185","RAMOS, JAVIER GARCIA MR.","DEM",2022,"H","AZ",5,"C00813923"
"10","H0AZ07082","BARNETT, JOSH","REP",2022,"H","AZ",1,"C00702332"
"11","H0AZ08072","MUSCATO, MICHAEL ARCHANGEL","DEM",2022,"H","AZ",8,"C00703124"
"12","H0CA03078","BERA, AMERISH","DEM",2022,"H","CA",6,"C00461061"
"13","H0CA03128","HAMILTON, TAMIKA","REP",2022,"H","CA",6,"C00706374"
"14","H0CA04175","KENNEDY, BRYNNE","DEM",2022,"H","CA",4,"C00704650"
"15","H0CA05107","GIBLIN, SCOTT","REP",2022,"H","CA",5,"C00714592"
"16","H0CA06170","BISH, CHRISTINE","REP",2022,"H","CA",0,"C00721548"
"17","H0CA07137","PATTERSON, ROBERT BUZZ","REP",2022,"H","CA",7,"C00784918"
"18","H0CA08135","OBERNOLTE, JAY","REP",2022,"H","CA",23,"C00720078"
"19","H0CA08226","GOMEZ, BLANCA","DEM",2022,"H","CA",8,"C00761825"
"20","H0CA10073","DESAULNIER, MARK","DEM",2022,"H","CA",10,"C00554709"
"21","H0CA10149","GARAMENDI, JOHN","DEM",2022,"H","CA",8,"C00462697"
"22","H0CA15247","HAYDEN, ALISON","REP",2022,"H","CA",14,"C00776021"
"23","H0CA17193","TANDON, RITESH","REP",2022,"H","CA",17,"C00721878"
"24","H0CA18068","KUMAR, RISHI","DEM",2022,"H","CA",16,"C00695858"
"25","H0CA19173","DENHAM, JEFF","REP",2022,"H","CA",10,"C00473272"
"26","H0CA20122","GORMAN, JEFF","REP",2022,"H","CA",19,"C00722363"
"27","H0CA22102","ARBALLO, PHIL","DEM",2022,"H","CA",13,"C00830505"
"28","H0CA22110","GARCIA, ERIC","DEM",2022,"H","CA",22,"C00766725"
"29","H0CA25105","GARCIA, MICHAEL","REP",2022,"H","CA",27,"C00701102"
"30","H0CA25139","RUDNICK, FREDERICK D MR.","REP",2022,"H","CA",27,"C00719047"
"31","H0CA25154","SMITH, CHRISTY","DEM",2022,"H","CA",27,"C00725101"
"32","H0CA26145","KENNEDY, RONDA","REP",2022,"H","CA",30,"C00708073"
"33","H0CA27085","SCHIFF, ADAM","DEM",2022,"H","CA",30,"C00343871"
"34","H0CA27127","NALBANDIAN, JOHNNY","REP",2022,"H","CA",30,"C00651547"
"35","H0CA28174","PUDLO, G MAEBE A. GIRL","DEM",2022,"H","CA",30,"C00709501"
"36","H0CA32101","CHU, JUDY","DEM",2022,"H","CA",28,"C00458125"
"37","H0CA33117","BASS, KAREN","DEM",2022,"H","CA",37,"C00476523"
"38","H0CA33158","GRIFFIN, MORRIS F","DEM",2022,"H","CA",44,""
"39","H0CA33216","LIEW, SARAH SUN DR.","REP",2022,"H","CA",33,"C00721787"
"40","H0CA35146","CARGILE, MIKE","REP",2022,"H","CA",35,"C00730812"
"41","H0CA38140","JONES, PAUL IRVING REVEREND","REP",2022,"H","CA",44,"C00769356"
"42","H0CA40120","FELIX, ANTHONY DR. JR.","DEM",2022,"H","CA",40,"C00776138"
"43","H0CA42217","O'MARA, WILLIAM EDWARD DR IV","DEM",2022,"H","CA",42,"C00697524"
"44","H0CA43074","JAFRI, KHALID","DEM",2022,"H","CA",9,"C00355404"
"45","H0CA43108","COLLINS, JOE E III","REP",2022,"H","CA",36,"C00705236"
"46","H0CA45160","GONZALES, CHRISTOPHER","REP",2022,"H","CA",46,"C00783027"
"47","H0CA47166","MATHEWS, PETER","DEM",2022,"H","CA",42,"C00805226"
"48","H0CA48024","ISSA, DARRELL","REP",2022,"H","CA",48,"C00721332"
"49","H0CA48172","BURLEY, BRIAN J MR.","REP",2022,"H","CA",47,"C00700187"
"50","H0CA48198","STEEL, MICHELLE","REP",2022,"H","CA",45,"C00704981"
"51","H0CA50129","ABED, SAM","REP",2022,"H","CA",50,"C00710863"
"52","H0CA50210","JAHN, LUCINDA KWH","NNE",2022,"H","CA",48,""
"53","H0CA52083","DEBELLO, JAMES","REP",2022,"H","CA",52,"C00724849"
"54","H0CO03132","VALDEZ, DONALD","DEM",2022,"H","CO",3,"C00769919"
"55","H0CO03165","BOEBERT, LAUREN","REP",2022,"H","CO",3,"C00728238"
"56","H0CO03173","MILTON, CHRISTOPHER","OTH",2022,"H","CO",6,"C00719823"
"57","H0CO04197","MCCORKLE, ISAAC IAN","DEM",2022,"H","CO",4,"C00697334"
"58","H0CO05152","KELTIE, REBECCA","REP",2022,"H","CO",5,"C00781203"
"59","H0CT01134","GRIFFIN, JIM","REP",2022,"H","CT",1,"C00803320"
"60","H0CT03072","DELAURO, ROSA L","DEM",2022,"H","CT",3,"C00238865"
"61","H0CT03163","PAGLINO, JUSTIN COBB DR MD, PHD","GRE",2022,"H","CT",3,"C00748400"
"62","H0CT04203","ELGIN, TJ","IND",2022,"H","CT",4,"C00799213"
"63","H0CT04211","MERLEN, BRIAN","IND",2022,"H","CT",4,"C00744722"
"64","H0CT04229","GOLDSTEIN, MICHAEL","REP",2022,"H","CT",4,"C00790352"
"65","H0DC00058","NORTON, ELEANOR HOLMES","DEM",2022,"H","DC",0,"C00244335"
"66","H0DC01023","MAYE, GREG","DEM",2022,"H","DC",0,"C00742684"
"67","H0DE00159","ROGERS, DAVID L.","OTH",2022,"H","DE",0,""
"68","H0FL01146","MERK, GREGORY CHARLES CHARLES","REP",2022,"H","FL",1,"C00774745"
"69","H0FL02086","LAWSON, ALFRED JR","DEM",2022,"H","FL",2,"C00460261"
"70","H0FL03175","CAMMACK, KAT","REP",2022,"H","FL",3,"C00730895"
"71","H0FL04116","KONIZ, GARY L","W",2022,"H","FL",4,"C00566687"
"72","H0FL04140","AGUILAR, ERICK JAVIER","REP",2022,"H","FL",4,"C00716399"
"73","H0FL06111","THRIPP, RICHARD","DEM",2022,"H","FL",6,"C00732818"
