"","interest_over_time.date","interest_over_time.hits","interest_over_time.keyword","interest_over_time.geo","interest_over_time.time","interest_over_time.gprop","interest_over_time.category"
"1",2022-01-02,5,"Abortion","US","2022-01-01 2022-12-01","web",0
"2",2022-01-09,5,"Abortion","US","2022-01-01 2022-12-01","web",0
"3",2022-01-16,5,"Abortion","US","2022-01-01 2022-12-01","web",0
"4",2022-01-23,6,"Abortion","US","2022-01-01 2022-12-01","web",0
"5",2022-01-30,5,"Abortion","US","2022-01-01 2022-12-01","web",0
"6",2022-02-06,5,"Abortion","US","2022-01-01 2022-12-01","web",0
"7",2022-02-13,5,"Abortion","US","2022-01-01 2022-12-01","web",0
"8",2022-02-20,5,"Abortion","US","2022-01-01 2022-12-01","web",0
"9",2022-02-27,6,"Abortion","US","2022-01-01 2022-12-01","web",0
"10",2022-03-06,6,"Abortion","US","2022-01-01 2022-12-01","web",0
"11",2022-03-13,8,"Abortion","US","2022-01-01 2022-12-01","web",0
"12",2022-03-20,7,"Abortion","US","2022-01-01 2022-12-01","web",0
"13",2022-03-27,7,"Abortion","US","2022-01-01 2022-12-01","web",0
"14",2022-04-03,9,"Abortion","US","2022-01-01 2022-12-01","web",0
"15",2022-04-10,9,"Abortion","US","2022-01-01 2022-12-01","web",0
"16",2022-04-17,7,"Abortion","US","2022-01-01 2022-12-01","web",0
"17",2022-04-24,7,"Abortion","US","2022-01-01 2022-12-01","web",0
"18",2022-05-01,54,"Abortion","US","2022-01-01 2022-12-01","web",0
"19",2022-05-08,30,"Abortion","US","2022-01-01 2022-12-01","web",0
"20",2022-05-15,15,"Abortion","US","2022-01-01 2022-12-01","web",0
"21",2022-05-22,11,"Abortion","US","2022-01-01 2022-12-01","web",0
"22",2022-05-29,8,"Abortion","US","2022-01-01 2022-12-01","web",0
"23",2022-06-05,7,"Abortion","US","2022-01-01 2022-12-01","web",0
"24",2022-06-12,8,"Abortion","US","2022-01-01 2022-12-01","web",0
"25",2022-06-19,100,"Abortion","US","2022-01-01 2022-12-01","web",0
"26",2022-06-26,91,"Abortion","US","2022-01-01 2022-12-01","web",0
"27",2022-07-03,30,"Abortion","US","2022-01-01 2022-12-01","web",0
"28",2022-07-10,19,"Abortion","US","2022-01-01 2022-12-01","web",0
"29",2022-07-17,15,"Abortion","US","2022-01-01 2022-12-01","web",0
"30",2022-07-24,12,"Abortion","US","2022-01-01 2022-12-01","web",0
"31",2022-07-31,19,"Abortion","US","2022-01-01 2022-12-01","web",0
"32",2022-08-07,10,"Abortion","US","2022-01-01 2022-12-01","web",0
"33",2022-08-14,9,"Abortion","US","2022-01-01 2022-12-01","web",0
"34",2022-08-21,9,"Abortion","US","2022-01-01 2022-12-01","web",0
"35",2022-08-28,8,"Abortion","US","2022-01-01 2022-12-01","web",0
"36",2022-09-04,7,"Abortion","US","2022-01-01 2022-12-01","web",0
"37",2022-09-11,10,"Abortion","US","2022-01-01 2022-12-01","web",0
"38",2022-09-18,9,"Abortion","US","2022-01-01 2022-12-01","web",0
"39",2022-09-25,9,"Abortion","US","2022-01-01 2022-12-01","web",0
"40",2022-10-02,10,"Abortion","US","2022-01-01 2022-12-01","web",0
"41",2022-10-09,9,"Abortion","US","2022-01-01 2022-12-01","web",0
"42",2022-10-16,10,"Abortion","US","2022-01-01 2022-12-01","web",0
"43",2022-10-23,10,"Abortion","US","2022-01-01 2022-12-01","web",0
"44",2022-10-30,11,"Abortion","US","2022-01-01 2022-12-01","web",0
"45",2022-11-06,18,"Abortion","US","2022-01-01 2022-12-01","web",0
"46",2022-11-13,8,"Abortion","US","2022-01-01 2022-12-01","web",0
"47",2022-11-20,6,"Abortion","US","2022-01-01 2022-12-01","web",0
"48",2022-11-27,7,"Abortion","US","2022-01-01 2022-12-01","web",0
"49",2022-01-02,19,"Crime","US","2022-01-01 2022-12-01","web",0
"50",2022-01-09,19,"Crime","US","2022-01-01 2022-12-01","web",0
"51",2022-01-16,19,"Crime","US","2022-01-01 2022-12-01","web",0
"52",2022-01-23,20,"Crime","US","2022-01-01 2022-12-01","web",0
"53",2022-01-30,19,"Crime","US","2022-01-01 2022-12-01","web",0
"54",2022-02-06,20,"Crime","US","2022-01-01 2022-12-01","web",0
"55",2022-02-13,21,"Crime","US","2022-01-01 2022-12-01","web",0
"56",2022-02-20,21,"Crime","US","2022-01-01 2022-12-01","web",0
"57",2022-02-27,21,"Crime","US","2022-01-01 2022-12-01","web",0
"58",2022-03-06,22,"Crime","US","2022-01-01 2022-12-01","web",0
"59",2022-03-13,21,"Crime","US","2022-01-01 2022-12-01","web",0
"60",2022-03-20,22,"Crime","US","2022-01-01 2022-12-01","web",0
"61",2022-03-27,21,"Crime","US","2022-01-01 2022-12-01","web",0
"62",2022-04-03,22,"Crime","US","2022-01-01 2022-12-01","web",0
"63",2022-04-10,22,"Crime","US","2022-01-01 2022-12-01","web",0
"64",2022-04-17,22,"Crime","US","2022-01-01 2022-12-01","web",0
"65",2022-04-24,22,"Crime","US","2022-01-01 2022-12-01","web",0
"66",2022-05-01,22,"Crime","US","2022-01-01 2022-12-01","web",0
"67",2022-05-08,21,"Crime","US","2022-01-01 2022-12-01","web",0
"68",2022-05-15,22,"Crime","US","2022-01-01 2022-12-01","web",0
"69",2022-05-22,22,"Crime","US","2022-01-01 2022-12-01","web",0
"70",2022-05-29,20,"Crime","US","2022-01-01 2022-12-01","web",0
"71",2022-06-05,19,"Crime","US","2022-01-01 2022-12-01","web",0
"72",2022-06-12,18,"Crime","US","2022-01-01 2022-12-01","web",0
"73",2022-06-19,19,"Crime","US","2022-01-01 2022-12-01","web",0
"74",2022-06-26,18,"Crime","US","2022-01-01 2022-12-01","web",0
"75",2022-07-03,19,"Crime","US","2022-01-01 2022-12-01","web",0
"76",2022-07-10,19,"Crime","US","2022-01-01 2022-12-01","web",0
"77",2022-07-17,19,"Crime","US","2022-01-01 2022-12-01","web",0
"78",2022-07-24,19,"Crime","US","2022-01-01 2022-12-01","web",0
"79",2022-07-31,18,"Crime","US","2022-01-01 2022-12-01","web",0
"80",2022-08-07,18,"Crime","US","2022-01-01 2022-12-01","web",0
"81",2022-08-14,18,"Crime","US","2022-01-01 2022-12-01","web",0
"82",2022-08-21,20,"Crime","US","2022-01-01 2022-12-01","web",0
"83",2022-08-28,19,"Crime","US","2022-01-01 2022-12-01","web",0
"84",2022-09-04,21,"Crime","US","2022-01-01 2022-12-01","web",0
"85",2022-09-11,20,"Crime","US","2022-01-01 2022-12-01","web",0
"86",2022-09-18,22,"Crime","US","2022-01-01 2022-12-01","web",0
"87",2022-09-25,24,"Crime","US","2022-01-01 2022-12-01","web",0
