"","name","Adherence_per_1000_All","Adherence_per_1000_Evan"
"1","Utah",760.96,20.34
"2","Alabama",636.01,420.95
"3","Louisiana",633.23,249.99
"4","Oklahoma",611.75,418.64
"5","Mississippi",594.32,390.42
"6","Arkansas",577.64,383.26
"7","District of Columbia",564.49,152.44
"8","Tennessee",556.37,364.05
"9","South Dakota",553.79,202.47
"10","Texas",550.53,235.4
"11","North Dakota",550.19,107.6
"12","Idaho",527.38,123.92
"13","South Carolina",526.7,290.14
"14","New Mexico",525.13,129.38
"15","New Jersey",521.74,51.28
"16","North Carolina",521.46,265.65
"17","Rhode Island",515.09,38.25
"18","New York",512.22,51.5
"19","Illinois",508.13,117.63
"20","Georgia",507.84,262.58
"21","Minnesota",494.94,118.43
"22","Kentucky",494.09,313.89
"23","Nebraska",492.77,143.58
"24","Massachusetts",486.4,36.5
"25","Missouri",484.08,240.84
"26","Wisconsin",480.44,145.38
"27","Ohio",478.52,196.97
"28","Connecticut",473.71,68.93
"29","Florida",470.79,184.34
"30","Pennsylvania",468.93,98.03
"31","Kansas",460.28,173.49
"32","Virginia",459.98,203.38
"33","Iowa",448.65,110.51
"34","California",448.34,89.91
"35","Arizona",440.66,106.16
"36","Maryland",434.72,113.95
"37","Indiana",421.4,182.59
"38","Nevada",416.08,67.6
"39","Hawaii",414.86,92.93
"40","Delaware",413.57,90.98
"41","Washington",413.32,204.76
"42","Wyoming",403.94,111.95
"43","Michigan",396.79,121.04
"44","West Virginia",377.78,168.32
"45","Vermont",376.34,72.53
"46","Colorado",354.09,117.42
"47","Alaska",351.82,179.12
"48","Montana",348.37,136.59
"49","Oregon",331.81,127.83
"50","Maine",307.94,61.05
"51","New Hampshire",272.19,48.44
