"","Candidate","Party.Num","State","State_Abbr","Office","District","Gender.Num","White.Num","Black.Num","Asian.Num","Latino.Num","Middle_Eastern.Num","Native_American.Num","Incumbent.Num","Election_Denier.Num","Fundraising_Total","index","full_district","Special","Winner"
"1","Jrmar ""JJ"" Jefferson",1,"Texas","TX","Representative","1",1,0,1,0,0,0,0,0,0,28794,"1","TX-1",0,0
"2","Robin Fulford",1,"Texas","TX","Representative","2",0,1,0,0,0,0,0,0,0,95686,"2","TX-2",0,0
"3","Sandeep Srivastava",1,"Texas","TX","Representative","3",1,0,0,1,0,0,0,0,0,68334,"3","TX-3",0,0
"4","Iro Omere",1,"Texas","TX","Representative","4",0,0,1,0,0,0,0,0,0,14200,"4","TX-4",0,0
"5","Tartisha Hill",1,"Texas","TX","Representative","5",0,0,1,0,0,0,0,0,0,3000,"5","TX-5",0,0
"6","Lizzie Fletcher",1,"Texas","TX","Representative","7",0,1,0,0,0,0,0,1,0,1119722,"6","TX-7",0,1
"7","Laura Jones",1,"Texas","TX","Representative","8",0,1,0,0,0,0,0,0,0,11580,"7","TX-8",0,0
"8","Al Green",1,"Texas","TX","Representative","9",1,0,1,0,0,0,0,1,0,106053,"8","TX-9",0,1
"9","Linda Nuno",1,"Texas","TX","Representative","10",0,0,0,0,1,0,0,0,0,0,"9","TX-10",0,0
"10","Trey J. Hunt",1,"Texas","TX","Representative","12",1,1,1,0,0,0,0,0,0,14590,"10","TX-12",0,0
"11","Kathleen Brown",1,"Texas","TX","Representative","13",0,1,0,0,0,0,0,0,0,40716,"11","TX-13",0,0
"12","Mikal Williams",1,"Texas","TX","Representative","14",1,1,0,0,0,0,0,0,0,28985,"12","TX-14",0,0
"13","Michelle Vallejo",1,"Texas","TX","Representative","15",0,0,0,0,1,0,0,0,0,905218,"13","TX-15",0,0
"14","Veronica Escobar",1,"Texas","TX","Representative","16",0,0,0,0,1,0,0,1,0,246292,"14","TX-16",0,1
"15","Mary Jo Woods",1,"Texas","TX","Representative","17",0,1,0,0,0,0,0,0,0,0,"15","TX-17",0,0
"16","Sheila Jackson Lee",1,"Texas","TX","Representative","18",0,0,1,0,0,0,0,1,0,420382,"16","TX-18",0,1
"17","Joaquin Castro",1,"Texas","TX","Representative","20",1,0,0,0,1,0,0,1,0,133472,"17","TX-20",0,1
"18","Claudia Andreana Zapata",1,"Texas","TX","Representative","21",0,0,0,0,1,0,0,0,0,31821,"18","TX-21",0,0
"19","Jamie Kaye Jordan",1,"Texas","TX","Representative","22",0,1,0,0,0,0,0,0,0,0,"19","TX-22",0,0
"20","John Lira",1,"Texas","TX","Representative","23",1,0,0,0,1,0,0,0,0,227345,"20","TX-23",0,0
"21","Jan McDowell",1,"Texas","TX","Representative","24",0,1,0,0,0,0,0,0,0,67028,"21","TX-24",0,0
"22","Maclovio Perez Jr.",1,"Texas","TX","Representative","27",1,0,0,0,1,0,0,0,0,0,"22","TX-27",0,0
"23","Henry Cuellar",1,"Texas","TX","Representative","28",1,0,0,0,1,0,0,1,0,1220535,"23","TX-28",0,1
"24","Sylvia Garcia",1,"Texas","TX","Representative","29",0,0,0,0,1,0,0,1,0,170861,"24","TX-29",0,1
"25","Jasmine Crockett",1,"Texas","TX","Representative","30",0,0,1,0,0,0,0,0,0,136892,"25","TX-30",0,1
"26","Colin Allred",1,"Texas","TX","Representative","32",1,0,1,0,0,0,0,1,0,1198601,"26","TX-32",0,1
"27","Marc Veasey",1,"Texas","TX","Representative","33",1,0,1,0,0,0,0,1,0,283774,"27","TX-33",0,1
"28","Vicente Gonzalez",1,"Texas","TX","Representative","34",1,0,0,0,1,0,0,1,0,1143722,"28","TX-34",0,1
"29","Greg Casar",1,"Texas","TX","Representative","35",1,0,0,0,1,0,0,0,0,287109,"29","TX-35",0,1
"30","Jon Haire",1,"Texas","TX","Representative","36",1,1,0,0,0,0,0,0,0,31626,"30","TX-36",0,0
"31","Lloyd Doggett",1,"Texas","TX","Representative","37",1,1,0,0,0,0,0,1,0,458166,"31","TX-37",0,1
"32","Duncan F. Klussmann",1,"Texas","TX","Representative","38",1,1,0,0,0,0,0,0,0,92428,"32","TX-38",0,0
"33","Thomas M. McDermott Jr.",1,"Indiana","IN","Senator","0",1,1,0,0,0,0,0,0,0,571451,"33","IN-0",0,0
"34","Frank J. Mrvan",1,"Indiana","IN","Representative","1",1,1,0,0,0,0,0,1,0,831945,"34","IN-1",0,1
"35","Paul D. Steury",1,"Indiana","IN","Representative","2",1,1,0,0,0,0,0,0,0,43875,"35","IN-2",0,0
"36","Gary L. Snyder",1,"Indiana","IN","Representative","3",1,1,0,0,0,0,0,0,0,27193,"36","IN-3",0,0
"37","Roger D. Day",1,"Indiana","IN","Representative","4",1,1,0,0,0,0,0,0,0,0,"37","IN-4",0,0
"38","Jeannine Lee Lake",1,"Indiana","IN","Representative","5",0,0,1,0,0,0,0,0,0,11441,"38","IN-5",0,0
"39","Cynthia ""Cinde"" Wirth",1,"Indiana","IN","Representative","6",0,1,0,0,0,0,0,0,0,11221,"39","IN-6",0,0
"40","André D. Carson",1,"Indiana","IN","Representative","7",1,0,1,0,0,0,0,1,0,143572,"40","IN-7",0,1
"41","Ray McCormick",1,"Indiana","IN","Representative","8",1,1,0,0,0,0,0,0,0,50339,"41","IN-8",0,0
"42","Matthew Fyfe",1,"Indiana","IN","Representative","9",1,1,0,0,0,0,0,0,0,28466,"42","IN-9",0,0
"43","Tim Ryan",1,"Ohio","OH","Senator","0",1,1,0,0,0,0,0,0,0,22466976,"43","OH-0",0,0
"44","Greg Landsman",1,"Ohio","OH","Representative","1",1,1,0,0,0,0,0,0,0,1102806,"44","OH-1",0,1
"45","Samantha Meadows",1,"Ohio","OH","Representative","2",0,1,0,0,0,0,0,0,0,6130,"45","OH-2",0,0
"46","Joyce Beatty",1,"Ohio","OH","Representative","3",0,0,1,0,0,0,0,1,0,325961,"46","OH-3",0,1
"47","Tamie Wilson",1,"Ohio","OH","Representative","4",0,1,1,0,0,0,0,0,0,30773,"47","OH-4",0,0
"48","Craig Swartz",1,"Ohio","OH","Representative","5",1,1,0,0,0,0,0,0,0,14285,"49","OH-5",0,0
"49","Louis G. Lyras",1,"Ohio","OH","Representative","6",1,1,0,0,0,0,0,0,0,30881,"50","OH-6",0,0
"50","Matthew Diemer",1,"Ohio","OH","Representative","7",1,1,1,0,0,0,0,0,0,83981,"51","OH-7",0,0
"51","Vanessa Enoch",1,"Ohio","OH","Representative","8",0,0,1,0,0,0,0,0,0,0,"52","OH-8",0,0
"52","Marcy Kaptur",1,"Ohio","OH","Representative","9",0,1,0,0,0,0,0,1,0,859259,"53","OH-9",0,1
"53","David Esrati",1,"Ohio","OH","Representative","10",1,1,0,0,0,0,0,0,0,20954,"54","OH-10",0,0
"54","Shontel Brown",1,"Ohio","OH","Representative","11",0,0,1,0,0,0,0,1,0,929565,"55","OH-11",0,1
"55","Amy Rippel-Elton",1,"Ohio","OH","Representative","12",0,1,0,0,0,0,0,0,0,0,"56","OH-12",0,0
"56","Emilia Sykes",1,"Ohio","OH","Representative","13",0,0,1,0,0,0,0,0,0,930435,"57","OH-13",0,1
"57","Matt Kilboy",1,"Ohio","OH","Representative","14",1,1,0,0,0,0,0,0,0,14299,"58","OH-14",0,0
"58","Gary Josephson",1,"Ohio","OH","Representative","15",1,0,0,0,0,0,0,0,0,31001,"59","OH-15",0,0
"59","Lacy Watson",1,"West Virginia","WV","Representative","1",1,0,1,0,0,0,0,0,0,0,"60","WV-1",0,0
"60","Barry Lee Wendell",1,"West Virginia","WV","Representative","2",1,1,0,0,0,0,0,0,0,11883,"61","WV-2",0,0
"61","Patty Pansing Brooks",1,"Nebraska","NE","Representative","1",0,1,0,0,0,0,0,0,0,668297,"62","NE-1",0,0
"62","Tony Vargas",1,"Nebraska","NE","Representative","2",1,0,0,0,1,0,0,0,0,1581330,"63","NE-2",0,0
"63","David J. Else",1,"Nebraska","NE","Representative","3",1,1,0,0,0,0,0,0,0,0,"64","NE-3",0,0
"64","Charles Booker",1,"Kentucky","KY","Senator","0",1,0,1,0,0,0,0,0,0,1565535,"65","KY-0",0,0
"65","Jimmy C. Ausbrooks",1,"Kentucky","KY","Representative","1",1,1,0,0,0,0,0,0,0,250,"66","KY-1",0,0
"66","Hank Linderman",1,"Kentucky","KY","Representative","2",1,1,0,0,0,0,0,0,0,22704,"67","KY-2",0,0
"67","Morgan McGarvey",1,"Kentucky","KY","Representative","3",1,1,0,0,0,0,0,0,0,1010411,"68","KY-3",0,1
"68","Matthew Lehman",1,"Kentucky","KY","Representative","4",1,1,0,0,0,0,0,0,0,74279,"69","KY-4",0,0
"69","Conor Halbleib",1,"Kentucky","KY","Representative","5",1,1,0,0,0,0,0,0,0,3530,"70","KY-5",0,0
"70","Geoffrey M. ""Geoff"" Young",1,"Kentucky","KY","Representative","6",1,1,0,0,0,0,0,0,0,13807,"71","KY-6",0,0
"71","Ron Wyden",1,"Oregon","OR","Senator","0",1,1,0,0,0,0,0,1,0,3175684,"72","OR-0",0,1
"72","Suzanne Bonamici",1,"Oregon","OR","Representative","1",0,1,0,0,0,0,0,1,0,176655,"73","OR-1",0,1
"73","Joe Yetter",1,"Oregon","OR","Representative","2",1,1,0,0,0,0,0,0,0,25396,"74","OR-2",0,0
"74","Earl Blumenauer",1,"Oregon","OR","Representative","3",1,1,0,0,0,0,0,1,0,247652,"75","OR-3",0,1
"75","Val Hoyle",1,"Oregon","OR","Representative","4",0,1,0,0,0,0,0,0,0,766993,"76","OR-4",0,1
"76","Jamie McLeod-Skinner",1,"Oregon","OR","Representative","5",0,1,0,0,0,0,0,0,0,1470369,"77","OR-5",0,0
"77","Andrea Salinas",1,"Oregon","OR","Representative","6",0,1,0,0,0,0,0,0,0,1417119,"78","OR-6",0,1
"78","David Roth",1,"Idaho","ID","Senator","0",1,1,0,0,0,0,0,0,0,32918,"79","ID-0",0,0
"79","Kaylee Peterson",1,"Idaho","ID","Representative","1",0,1,0,0,0,0,0,0,0,29125,"80","ID-1",0,0
"80","Wendy Norman",1,"Idaho","ID","Representative","2",0,1,0,0,0,0,0,0,0,4470,"81","ID-2",0,0
"81","Cheri Beasley",1,"North Carolina","NC","Senator","0",0,0,1,0,0,0,0,0,0,15501364,"82","NC-0",0,0
"82","Don Davis",1,"North Carolina","NC","Representative","1",1,0,1,0,0,0,0,0,0,525308,"83","NC-1",0,1
"83","Deborah K. Ross",1,"North Carolina","NC","Representative","2",0,1,0,0,0,0,0,1,0,635161,"84","NC-2",0,1
"84","Barbara D. Gaskins",1,"North Carolina","NC","Representative","3",0,0,1,0,0,0,0,0,0,7750,"85","NC-3",0,0
"85","Valerie P. Foushee",1,"North Carolina","NC","Representative","4",0,0,1,0,0,0,0,0,0,99094,"86","NC-4",0,1
"86","Kyle Parrish",1,"North Carolina","NC","Representative","5",1,1,0,0,0,0,0,0,0,4150,"87","NC-5",0,0
"87","Kathy Manning",1,"North Carolina","NC","Representative","6",0,1,0,0,0,0,0,1,0,1180059,"88","NC-6",0,1
"88","Charles Graham",1,"North Carolina","NC","Representative","7",1,1,0,0,0,0,0,0,0,53715,"89","NC-7",0,0
"89","Scott Huffman",1,"North Carolina","NC","Representative","8",1,1,0,0,0,0,0,0,0,13145,"90","NC-8",0,0
"90","Ben Clark",1,"North Carolina","NC","Representative","9",1,0,1,0,0,0,0,0,0,55317,"91","NC-9",0,0
