"","CAND_ID","CAND_NAME","CAND_PTY_AFFILIATION","CAND_OFFICE","CAND_OFFICE_ST","CAND_OFFICE_DISTRICT","Fundraising_Total","CAND_LAST"
"1","H0AL01055","CARL, JERRY LEE, JR",0,"Representative","AL","1",184307,"CARL"
"2","H0AL02202","HARVEY-HALL, PHYLLIS",1,"Representative","AL","2",11672,"HALL"
"3","H0AL07086","SEWELL, TERRI A.",1,"Representative","AL","7",242945,"SEWELL"
"4","H0AR01083","CRAWFORD, ERIC ALAN RICK",0,"Representative","AR","1",129303,"CRAWFORD"
"5","H0AR03055","WOMACK, STEVE",0,"Representative","AR","3",398698,"WOMACK"
"6","H0AZ01259","GOSAR, PAUL DR.",0,"Representative","AZ","9",224722,"GOSAR"
"7","H0AZ05185","RAMOS, JAVIER GARCIA MR.",1,"Representative","AZ","5",6149,"RAMOS"
"8","H0AZ07082","BARNETT, JOSH",0,"Representative","AZ","1",4745,"BARNETT"
"9","H0CA03078","BERA, AMERISH",1,"Representative","CA","6",227107,"BERA"
"10","H0CA03128","HAMILTON, TAMIKA",0,"Representative","CA","6",303264,"HAMILTON"
"11","H0CA04175","KENNEDY, BRYNNE",1,"Representative","CA","4",2100,"KENNEDY"
"12","H0CA06170","BISH, CHRISTINE",0,"Representative","CA","0",5645,"BISH"
"13","H0CA07137","PATTERSON, ROBERT BUZZ",0,"Representative","CA","7",8500,"PATTERSON"
"14","H0CA08135","OBERNOLTE, JAY",0,"Representative","CA","23",289701,"OBERNOLTE"
"15","H0CA10073","DESAULNIER, MARK",1,"Representative","CA","10",79385,"DESAULNIER"
"16","H0CA10149","GARAMENDI, JOHN",1,"Representative","CA","8",257746,"GARAMENDI"
"17","H0CA17193","TANDON, RITESH",0,"Representative","CA","17",55536,"TANDON"
"18","H0CA18068","KUMAR, RISHI",1,"Representative","CA","16",188825,"KUMAR"
"19","H0CA20122","GORMAN, JEFF",0,"Representative","CA","19",18585,"GORMAN"
"20","H0CA22102","ARBALLO, PHIL",1,"Representative","CA","13",334054,"ARBALLO"
"21","H0CA22110","GARCIA, ERIC",1,"Representative","CA","22",8690,"GARCIA"
"22","H0CA25105","GARCIA, MICHAEL",0,"Representative","CA","27",2022120,"GARCIA"
"23","H0CA25154","SMITH, CHRISTY",1,"Representative","CA","27",1801428,"SMITH"
"24","H0CA26145","KENNEDY, RONDA",0,"Representative","CA","30",5000,"KENNEDY"
"25","H0CA27085","SCHIFF, ADAM",1,"Representative","CA","30",5171083,"SCHIFF"
"26","H0CA27127","NALBANDIAN, JOHNNY",0,"Representative","CA","30",3953,"NALBANDIAN"
"27","H0CA28174","PUDLO, G MAEBE A. GIRL",1,"Representative","CA","30",2278,"PUDLO"
"28","H0CA32101","CHU, JUDY",1,"Representative","CA","28",692097,"CHU"
"29","H0CA33117","BASS, KAREN",1,"Representative","CA","37",76265,"BASS"
"30","H0CA35146","CARGILE, MIKE",0,"Representative","CA","35",21015,"CARGILE"
"31","H0CA40120","FELIX, ANTHONY DR. JR.",1,"Representative","CA","40",1650,"FELIX"
"32","H0CA43108","COLLINS, JOE E III",0,"Representative","CA","36",258445,"COLLINS"
"33","H0CA45160","GONZALES, CHRISTOPHER",0,"Representative","CA","46",24688,"GONZALES"
"34","H0CA48024","ISSA, DARRELL",0,"Representative","CA","48",366679,"ISSA"
"35","H0CA48172","BURLEY, BRIAN J MR.",0,"Representative","CA","47",9705,"BURLEY"
"36","H0CA48198","STEEL, MICHELLE",0,"Representative","CA","45",1344402,"STEEL"
"37","H0CO03132","VALDEZ, DONALD",1,"Representative","CO","3",26386,"VALDEZ"
"38","H0CO03165","BOEBERT, LAUREN",0,"Representative","CO","3",1376971,"BOEBERT"
"39","H0CO04197","MCCORKLE, ISAAC IAN",1,"Representative","CO","4",64705,"MCCORKLE"
"40","H0CT03072","DELAURO, ROSA L",1,"Representative","CT","3",621480,"DELAURO"
"41","H0CT03163","PAGLINO, JUSTIN COBB DR MD, PHD",0,"Representative","CT","3",1180,"PAGLINO"
"42","H0CT04229","GOLDSTEIN, MICHAEL",0,"Representative","CT","4",17880,"GOLDSTEIN"
"43","H0DC00058","NORTON, ELEANOR HOLMES",1,"Representative","DC","0",36800,"NORTON"
"44","H0FL02086","LAWSON, ALFRED JR",1,"Representative","FL","2",165345,"LAWSON"
"45","H0FL03175","CAMMACK, KAT",0,"Representative","FL","3",344939,"CAMMACK"
"46","H0FL04140","AGUILAR, ERICK JAVIER",0,"Representative","FL","4",458522,"AGUILAR"
"47","H0FL06111","THRIPP, RICHARD",1,"Representative","FL","6",460,"THRIPP"
"48","H0FL08208","WEBSTER, DANIEL",0,"Representative","FL","11",178420,"WEBSTER"
"49","H0FL09073","ORTIZ, SERGIO E",0,"Representative","FL","9",1565,"ORTIZ"
"50","H0FL09081","OLSON, WILLIAM",0,"Representative","FL","9",28935,"OLSON"
"51","H0FL09115","CASTILLO, JOSE",0,"Representative","FL","9",12080,"CASTILLO"
"52","H0FL10113","MONTAGUE, WILLIE",0,"Representative","FL","10",10812,"MONTAGUE"
"53","H0FL13133","MAKKI, AMANDA",0,"Representative","FL","13",378807,"MAKKI"
"54","H0FL13158","PAULINA LUNA, ANNA",0,"Representative","FL","13",1012551,"LUNA"
"55","H0FL15070","PHILIPPE, JESSE",1,"Representative","FL","15",355,"PHILIPPE"
"56","H0FL15104","FRANKLIN, SCOTT MR.",0,"Representative","FL","18",160420,"FRANKLIN"
"57","H0FL17068","WILSON, FREDERICA S.",1,"Representative","FL","24",77521,"WILSON"
"58","H0FL19080","DEUTCH, THEODORE ELIOT",1,"Representative","FL","22",135940,"DEUTCH"
"59","H0FL19106","BANYAI, CINDY LYN",1,"Representative","FL","19",18725,"BANYAI"
"60","H0FL19163","AQUINO, DARREN DIONE MR.",0,"Representative","FL","25",1591,"AQUINO"
"61","H0FL20112","JONES, LATERESA ANN",0,"Representative","FL","10",1775,"JONES"
"62","H0FL21078","LOOMER, LAURA",0,"Representative","FL","11",303583,"LOOMER"
"63","H0FL22118","PRUDEN, JAMES L.",0,"Representative","FL","23",85603,"PRUDEN"
"64","H0FL22126","SCOTT, CHRISTINE",0,"Representative","FL","23",70181,"SCOTT"
"65","H0FL23090","SPALDING, CARLA A",0,"Representative","FL","25",330714,"SPALDING"
"66","H0FL24205","SPICER, LAVERN",0,"Representative","FL","24",57400,"SPICER"
"67","H0FL26036","GIMENEZ, CARLOS",0,"Representative","FL","28",393781,"GIMENEZ"
"68","H0GA01029","GRIGGS, JOYCE MARIE",1,"Representative","GA","1",25,"GRIGGS"
"69","H0GA03074","ALMONORD, VALBRUN DR.",1,"Representative","GA","3",145,"ALMONORD"
"70","H0GA05301","WILLIAMS, NIKEMA NATASSHA",1,"Representative","GA","5",138499,"WILLIAMS"
"71","H0GA06192","GREENE, MARJORIE TAYLOR MRS.",0,"Representative","GA","14",1424754,"GREENE"
"72","H0GA06226","SMITH, PAULETTE MISS",0,"Representative","GA","6",712,"SMITH"
"73","H0GA07232","GONSALVES, MARK",0,"Representative","GA","7",216632,"GONSALVES"
"74","H0GA07273","MCCORMICK, RICHARD DEAN DR.",0,"Representative","GA","6",1252980,"MCCORMICK"
"75","H0GA07307","BABBAGE, LISA NOEL DR.",0,"Representative","GA","7",5890,"BABBAGE"
"76","H0GA08099","SCOTT, JAMES AUSTIN",0,"Representative","GA","8",175500,"SCOTT"
"77","H0GA09246","CLYDE, ANDREW",0,"Representative","GA","9",202336,"CLYDE"
"78","H0GA12059","JOHNSON, ELIZABETH",1,"Representative","GA","12",62773,"JOHNSON"
"79","H0GA13149","GONZALES, CAESAR",0,"Representative","GA","13",3765,"GONZALES"
"80","H0HI02155","KAHELE, KAIALI'I",1,"Representative","HI","2",47535,"KAHELE"
"81","H0HI02213","AKANA, JOSEPH",0,"Representative","HI","2",5710,"AKANA"
"82","H0IA01174","HINSON, ASHLEY",0,"Representative","IA","2",1702432,"HINSON"
"83","H0IA04145","FEENSTRA, RANDALL",0,"Representative","IA","4",464065,"FEENSTRA"
"84","H0IL01194","WHITE, PHILANISE",0,"Representative","IL","1",3900,"WHITE"
"85","H0IL01210","MATTHEWS, AMEENA",1,"Representative","IL","1",19595,"MATTHEWS"
"86","H0IL03133","HUGHES, CHARLES M",1,"Representative","IL","6",500,"HUGHES"
"87","H0IL05096","QUIGLEY, MIKE",1,"Representative","IL","5",144425,"QUIGLEY"
"88","H0IL07167","COLLINS, KINA ISIS",1,"Representative","IL","7",127350,"COLLINS"
"89","H0IL10393","SEVERINO, JOSEPH",0,"Representative","IL","10",20450,"SEVERINO"
"90","H0IL11052","KINZINGER, ADAM",0,"Representative","IL","16",378432,"KINZINGER"
"91","H0IL15129","MILLER, MARY",0,"Representative","IL","15",326877,"MILLER"
"92","H0IL17083","KING, ESTHER JOY",0,"Representative","IL","17",1792583,"KING"
"93","H0IN01150","MRVAN, FRANK J.",1,"Representative","IN","1",831945,"MRVAN"
"94","H0IN02190","WALORSKI, JACKIE",0,"Representative","IN","2",288247,"WALORSKI"
"95","H0IN05326","SPARTZ, VICTORIA",0,"Representative","IN","5",810433,"SPARTZ"
"96","H0IN08114","BUCSHON, LARRY D.",0,"Representative","IN","8",171832,"BUCSHON"
"97","H0KS01123","MANN, TRACEY ROBERT",0,"Representative","KS","1",170080,"MANN"
"98","H0KS02188","LATURNER, JAKE",0,"Representative","KS","2",402563,"LATURNER"
"99","H0KS03236","ADKINS, AMANDA",0,"Representative","KS","3",1179305,"ADKINS"
"100","H0KY05015","ROGERS, HAROLD DALLAS",0,"Representative","KY","5",219000,"ROGERS"
"101","H0KY06104","BARR, GARLAND ANDY",0,"Representative","KY","6",750572,"BARR"
"102","H0LA01087","SCALISE, STEVE MR",0,"Representative","LA","1",5703471,"SCALISE"
"103","H0MA04192","AUCHINCLOSS, JAKE",1,"Representative","MA","4",823972,"AUCHINCLOSS"
"104","H0MA04259","HALL, JULIE",0,"Representative","MA","4",661,"HALL"
