"","Candidate","Last_name","Party.Num","State","State_Abbr","Office","District","Gender.Num","White.Num","Black.Num","Asian.Num","Latino.Num","Middle_Eastern.Num","Native_American.Num","Incumbent.Num","Election_Denier.Num"
"1","Jrmar ""JJ"" Jefferson","JEFFERSON",1,"Texas","TX","Representative","1",1,0,1,0,0,0,0,0,0
"2","Robin Fulford","FULFORD",1,"Texas","TX","Representative","2",0,1,0,0,0,0,0,0,0
"3","Sandeep Srivastava","SRIVASTAVA",1,"Texas","TX","Representative","3",1,0,0,1,0,0,0,0,0
"4","Iro Omere","OMERE",1,"Texas","TX","Representative","4",0,0,1,0,0,0,0,0,0
"5","Tartisha Hill","HILL",1,"Texas","TX","Representative","5",0,0,1,0,0,0,0,0,0
"6","Lizzie Fletcher","FLETCHER",1,"Texas","TX","Representative","7",0,1,0,0,0,0,0,1,0
"7","Laura Jones","JONES",1,"Texas","TX","Representative","8",0,1,0,0,0,0,0,0,0
"8","Al Green","GREEN",1,"Texas","TX","Representative","9",1,0,1,0,0,0,0,1,0
"9","Linda Nuno","NUNO",1,"Texas","TX","Representative","10",0,0,0,0,1,0,0,0,0
"10","Trey J. Hunt","HUNT",1,"Texas","TX","Representative","12",1,1,1,0,0,0,0,0,0
"11","Kathleen Brown","BROWN",1,"Texas","TX","Representative","13",0,1,0,0,0,0,0,0,0
"12","Mikal Williams","WILLIAMS",1,"Texas","TX","Representative","14",1,1,0,0,0,0,0,0,0
"13","Michelle Vallejo","VALLEJO",1,"Texas","TX","Representative","15",0,0,0,0,1,0,0,0,0
"14","Veronica Escobar","ESCOBAR",1,"Texas","TX","Representative","16",0,0,0,0,1,0,0,1,0
"15","Mary Jo Woods","WOODS",1,"Texas","TX","Representative","17",0,1,0,0,0,0,0,0,0
"16","Sheila Jackson Lee","LEE",1,"Texas","TX","Representative","18",0,0,1,0,0,0,0,1,0
"17","Joaquin Castro","CASTRO",1,"Texas","TX","Representative","20",1,0,0,0,1,0,0,1,0
"18","Claudia Andreana Zapata","ZAPATA",1,"Texas","TX","Representative","21",0,0,0,0,1,0,0,0,0
"19","Jamie Kaye Jordan","JORDAN",1,"Texas","TX","Representative","22",0,1,0,0,0,0,0,0,0
"20","John Lira","LIRA",1,"Texas","TX","Representative","23",1,0,0,0,1,0,0,0,0
"21","Jan McDowell","MCDOWELL",1,"Texas","TX","Representative","24",0,1,0,0,0,0,0,0,0
"22","Maclovio Perez Jr.","PEREZ",1,"Texas","TX","Representative","27",1,0,0,0,1,0,0,0,0
"23","Henry Cuellar","CUELLAR",1,"Texas","TX","Representative","28",1,0,0,0,1,0,0,1,0
"24","Sylvia Garcia","GARCIA",1,"Texas","TX","Representative","29",0,0,0,0,1,0,0,1,0
"25","Jasmine Crockett","CROCKETT",1,"Texas","TX","Representative","30",0,0,1,0,0,0,0,0,0
"26","Colin Allred","ALLRED",1,"Texas","TX","Representative","32",1,0,1,0,0,0,0,1,0
"27","Marc Veasey","VEASEY",1,"Texas","TX","Representative","33",1,0,1,0,0,0,0,1,0
"28","Vicente Gonzalez","GONZALEZ",1,"Texas","TX","Representative","34",1,0,0,0,1,0,0,1,0
"29","Greg Casar","CASAR",1,"Texas","TX","Representative","35",1,0,0,0,1,0,0,0,0
"30","Jon Haire","HAIRE",1,"Texas","TX","Representative","36",1,1,0,0,0,0,0,0,0
"31","Lloyd Doggett","DOGGETT",1,"Texas","TX","Representative","37",1,1,0,0,0,0,0,1,0
"32","Duncan F. Klussmann","KLUSSMANN",1,"Texas","TX","Representative","38",1,1,0,0,0,0,0,0,0
"33","Thomas M. McDermott Jr.","MCDERMOTT",1,"Indiana","IN","Senator","0",1,1,0,0,0,0,0,0,0
"34","Frank J. Mrvan","MRVAN",1,"Indiana","IN","Representative","1",1,1,0,0,0,0,0,1,0
"35","Paul D. Steury","STEURY",1,"Indiana","IN","Representative","2",1,1,0,0,0,0,0,0,0
"36","Gary L. Snyder","SNYDER",1,"Indiana","IN","Representative","3",1,1,0,0,0,0,0,0,0
"37","Roger D. Day","DAY",1,"Indiana","IN","Representative","4",1,1,0,0,0,0,0,0,0
"38","Jeannine Lee Lake","LAKE",1,"Indiana","IN","Representative","5",0,0,1,0,0,0,0,0,0
"39","Cynthia ""Cinde"" Wirth","WIRTH",1,"Indiana","IN","Representative","6",0,1,0,0,0,0,0,0,0
"40","André D. Carson","CARSON",1,"Indiana","IN","Representative","7",1,0,1,0,0,0,0,1,0
"41","Ray McCormick","MCCORMICK",1,"Indiana","IN","Representative","8",1,1,0,0,0,0,0,0,0
"42","Matthew Fyfe","FYFE",1,"Indiana","IN","Representative","9",1,1,0,0,0,0,0,0,0
"43","Tim Ryan","RYAN",1,"Ohio","OH","Senator","0",1,1,0,0,0,0,0,0,0
"44","Greg Landsman","LANDSMAN",1,"Ohio","OH","Representative","1",1,1,0,0,0,0,0,0,0
"45","Samantha Meadows","MEADOWS",1,"Ohio","OH","Representative","2",0,1,0,0,0,0,0,0,0
"46","Joyce Beatty","BEATTY",1,"Ohio","OH","Representative","3",0,0,1,0,0,0,0,1,0
"47","Tamie Wilson","WILSON",1,"Ohio","OH","Representative","4",0,1,1,0,0,0,0,0,0
"48","Craig Swartz","SWARTZ",1,"Ohio","OH","Representative","5",1,1,0,0,0,0,0,0,0
"49","Louis G. Lyras","LYRAS",1,"Ohio","OH","Representative","6",1,1,0,0,0,0,0,0,0
"50","Matthew Diemer","DIEMER",1,"Ohio","OH","Representative","7",1,1,1,0,0,0,0,0,0
"51","Vanessa Enoch","ENOCH",1,"Ohio","OH","Representative","8",0,0,1,0,0,0,0,0,0
"52","Marcy Kaptur","KAPTUR",1,"Ohio","OH","Representative","9",0,1,0,0,0,0,0,1,0
"53","David Esrati","ESRATI",1,"Ohio","OH","Representative","10",1,1,0,0,0,0,0,0,0
"54","Shontel Brown","BROWN",1,"Ohio","OH","Representative","11",0,0,1,0,0,0,0,1,0
"55","Amy Rippel-Elton","ELTON",1,"Ohio","OH","Representative","12",0,1,0,0,0,0,0,0,0
"56","Emilia Sykes","SYKES",1,"Ohio","OH","Representative","13",0,0,1,0,0,0,0,0,0
"57","Matt Kilboy","KILBOY",1,"Ohio","OH","Representative","14",1,1,0,0,0,0,0,0,0
"58","Gary Josephson","JOSEPHSON",1,"Ohio","OH","Representative","15",1,0,0,0,0,0,0,0,0
"59","Lacy Watson","WATSON",1,"West Virginia","WV","Representative","1",1,0,1,0,0,0,0,0,0
"60","Barry Lee Wendell","WENDELL",1,"West Virginia","WV","Representative","2",1,1,0,0,0,0,0,0,0
"61","Patty Pansing Brooks","BROOKS",1,"Nebraska","NE","Representative","1",0,1,0,0,0,0,0,0,0
"62","Tony Vargas","VARGAS",1,"Nebraska","NE","Representative","2",1,0,0,0,1,0,0,0,0
"63","David J. Else","ELSE",1,"Nebraska","NE","Representative","3",1,1,0,0,0,0,0,0,0
"64","Charles Booker","BOOKER",1,"Kentucky","KY","Senator","0",1,0,1,0,0,0,0,0,0
"65","Jimmy C. Ausbrooks","AUSBROOKS",1,"Kentucky","KY","Representative","1",1,1,0,0,0,0,0,0,0
"66","Hank Linderman","LINDERMAN",1,"Kentucky","KY","Representative","2",1,1,0,0,0,0,0,0,0
"67","Morgan McGarvey","MCGARVEY",1,"Kentucky","KY","Representative","3",1,1,0,0,0,0,0,0,0
"68","Matthew Lehman","LEHMAN",1,"Kentucky","KY","Representative","4",1,1,0,0,0,0,0,0,0
"69","Conor Halbleib","HALBLEIB",1,"Kentucky","KY","Representative","5",1,1,0,0,0,0,0,0,0
"70","Geoffrey M. ""Geoff"" Young","YOUNG",1,"Kentucky","KY","Representative","6",1,1,0,0,0,0,0,0,0
"71","Ron Wyden","WYDEN",1,"Oregon","OR","Senator","0",1,1,0,0,0,0,0,1,0
"72","Suzanne Bonamici","BONAMICI",1,"Oregon","OR","Representative","1",0,1,0,0,0,0,0,1,0
"73","Joe Yetter","YETTER",1,"Oregon","OR","Representative","2",1,1,0,0,0,0,0,0,0
"74","Earl Blumenauer","BLUMENAUER",1,"Oregon","OR","Representative","3",1,1,0,0,0,0,0,1,0
