"","Candidate","Gender","Race.1","Race.2","Race.3","Incumbent","Incumbent.Challenger","State","Primary.Date","Office","District","Primary.Votes","Primary..","Primary.Outcome","Runoff.Votes","Runoff..","Runoff.Outcome","EMILY.s.List","Justice.Dems","Indivisible","PCCC","Our.Revolution","Sunrise","Sanders","AOC","Party.Committee","Party","X2020.Election.Stance","Trump","Trump.Date","Club.for.Growth","Renew.America","E.PAC","VIEW.PAC","Maggie.s.List","Winning.for.Women","General.Election.Candidate","Gender.Num","White","White.Num","Black","Black.Num","Asian","Asian.Num","Latino","Latino.Num","Middle_Eastern","Middle_Eastern.Num","Native_American","Native_American.Num","Incumbent.Num","index"
"1","Jrmar ""JJ"" Jefferson","Male","Black",NA,"","No","No","Texas","3/1/22","Representative","1","7,411","45%","Made runoff","5,607","76%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,1,FALSE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,0,"1"
"2","Robin Fulford","Female","White",NA,"","No","No","Texas","3/1/22","Representative","2","17,160","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,0,"2"
"3","Sandeep Srivastava","Male","Asian (Indian)",NA,"","No","No","Texas","3/1/22","Representative","3","13,865","62%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,1,FALSE,0,FALSE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,0,"3"
"4","Iro Omere","Female","Black",NA,"","No","No","Texas","3/1/22","Representative","4","16,404","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,FALSE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,0,"4"
"5","Tartisha Hill","Female","Black",NA,"","No","No","Texas","3/1/22","Representative","5","10,689","53%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,FALSE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,0,"5"
"6","Lizzie Fletcher","Female","White",NA,"","Yes","No","Texas","3/1/22","Representative","7","29,579","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,1,"6"
"7","Laura Jones","Female","White",NA,"","No","No","Texas","3/1/22","Representative","8","14,496","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,0,"7"
"8","Al Green","Male","Black",NA,"","Yes","No","Texas","3/1/22","Representative","9","42,782","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,1,FALSE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,1,"8"
"9","Linda Nuno","Female","Latino",NA,"","No","No","Texas","3/1/22","Representative","10","20,537","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,1,FALSE,0,FALSE,0,0,"9"
"10","Trey J. Hunt","Male","White","Black","","No","No","Texas","3/1/22","Representative","12","20,561","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,1,TRUE,1,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,0,"10"
"11","Kathleen Brown","Female","White",NA,"","No","No","Texas","3/1/22","Representative","13","10,807","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,0,"11"
"12","Mikal Williams","Male","White",NA,"","No","No","Texas","3/1/22","Representative","14","10,691","50%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,1,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,0,"12"
"13","Michelle Vallejo","Female","Latino (Mexican)",NA,"","No","No","Texas","3/1/22","Representative","15","6,570","20%","Made runoff","6,079","50%","Won","Yes (runoff only)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,1,FALSE,0,FALSE,0,0,"13"
"14","Veronica Escobar","Female","Latino (Mexican)",NA,"","Yes","No","Texas","3/1/22","Representative","16","30,954","88%","Won","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,1,FALSE,0,FALSE,0,1,"14"
"15","Mary Jo Woods","Female","White",NA,"","No","No","Texas","3/1/22","Representative","17","17,085","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,0,"15"
"16","Sheila Jackson Lee","Female","Black",NA,"","Yes","No","Texas","3/1/22","Representative","18","35,194","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,FALSE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,1,"16"
"17","Joaquin Castro","Male","Latino (Mexican)",NA,"","Yes","No","Texas","3/1/22","Representative","20","33,214","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,1,FALSE,0,FALSE,0,FALSE,0,TRUE,1,FALSE,0,FALSE,0,1,"17"
"18","Claudia Andreana Zapata","Female","Latino",NA,"","No","No","Texas","3/1/22","Representative","21","16,604","47%","Made runoff","13,886","63%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,1,FALSE,0,FALSE,0,0,"18"
"19","Jamie Kaye Jordan","Female","White",NA,"","No","No","Texas","3/1/22","Representative","22","20,818","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,0,"19"
"20","John Lira","Male","Latino (Mexican)",NA,"","No","No","Texas","3/1/22","Representative","23","19,816","56%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,1,FALSE,0,FALSE,0,FALSE,0,TRUE,1,FALSE,0,FALSE,0,0,"20"
